provider_id,holding_company,technology_code,technology_code_desc,area_stationary,area_invehicle
131328,"Thacker-Grigsby Telephone Company, Inc.",500,5G-NR (7/1 Mbps),11979,8914
131328,"Thacker-Grigsby Telephone Company, Inc.",500,5G-NR (35/3 Mbps),5657,3906
131387,"UBTA-UBET Communications, Inc.",400,4G LTE,14009,11399
131395,"United Telephone Association, Inc.",400,4G LTE,31941,14356
131425,Verizon Communications Inc.,400,4G LTE,5854877,2528033
131425,Verizon Communications Inc.,500,5G-NR (7/1 Mbps),1749892,407527
131425,Verizon Communications Inc.,500,5G-NR (35/3 Mbps),1142776,195087
170001,"Puerto Rico Telephone Company, Inc.",300,3G,7530,6721
170001,"Puerto Rico Telephone Company, Inc.",400,4G LTE,11566,9424
170001,"Puerto Rico Telephone Company, Inc.",500,5G-NR (7/1 Mbps),7977,6017
170001,"Puerto Rico Telephone Company, Inc.",500,5G-NR (35/3 Mbps),3917,2870
170002,Bristol Bay Cellular Partnership,400,4G LTE,5844,2348
170012,"American Samoa Telecom, LLC",300,3G,113,104
170012,"American Samoa Telecom, LLC",400,4G LTE,115,109
170012,"American Samoa Telecom, LLC",500,5G-NR (35/3 Mbps),148,142
170012,"American Samoa Telecom, LLC",500,5G-NR (7/1 Mbps),155,149
190281,"OTZ Telephone Cooperative, Inc.",400,4G LTE,5503,3221
220001,PTI Pacifica Inc.,300,3G,611,611
220001,PTI Pacifica Inc.,400,4G LTE,723,723
220001,PTI Pacifica Inc.,500,5G-NR (35/3 Mbps),307,307
220001,PTI Pacifica Inc.,500,5G-NR (7/1 Mbps),440,440
240047,Americell PA3 Limited Partnership,400,4G LTE,581,279
300085,"Tower Bridge Mobile Holdings, LLC",300,3G,115,69
300085,"Tower Bridge Mobile Holdings, LLC",400,4G LTE,75,42
300188,Standing Rock Sioux Tribe,400,4G LTE,12337,6795
350009,American Samoa Telecommunications Authority,400,4G LTE,763,528
350009,American Samoa Telecommunications Authority,500,5G-NR (7/1 Mbps),253,158
350009,American Samoa Telecommunications Authority,500,5G-NR (35/3 Mbps),253,158
360064,OptimERA Inc.,400,4G LTE,88,38
360114,Union Holding Corp.,300,3G,111308,70393
360114,Union Holding Corp.,400,4G LTE,161769,116758
380126,Tampnet Inc.,400,4G LTE,16541,16541
410192,Inland Cellular Telephone Company,400,4G LTE,29530,18548
460631,Nex-Tech Wireless,400,4G LTE,84690,71122
460631,Nex-Tech Wireless,500,5G-NR (7/1 Mbps),31448,22345
460632,"VTel Wireless, Inc.",400,4G LTE,6711,3291
460677,Dish Network Corporation,500,5G-NR (35/3 Mbps),751878,606080
460677,Dish Network Corporation,500,5G-NR (7/1 Mbps),922429,802176
520035,"World Mobile Networks, LLC",400,4G LTE,10603,4085
